mean_radius,mean_texture,mean_perimeter,mean_area
15.22,30.62,103.4,716.9
14.96,19.1,97.03,687.3
14.68,20.13,94.74,684.5
10.32,16.35,65.31,324.9
11.85,17.46,75.54,432.7
11.66,17.07,73.7,421.0
15.49,19.97,102.4,744.7
12.18,20.52,77.22,458.7
11.13,22.44,71.49,378.4
14.34,13.47,92.51,641.2
11.8,16.58,78.99,432.0
14.8,17.66,95.88,674.8
13.2,15.82,84.07,537.3
15.1,16.39,99.58,674.5
12.89,14.11,84.95,512.2
13.7,17.64,87.76,571.1
9.777,16.99,62.5,290.2
14.02,15.66,89.59,606.5
12.89,15.7,84.08,516.6
11.36,17.57,72.49,399.8
16.26,21.88,107.5,826.8
11.43,17.31,73.66,398.0
12.85,21.37,82.63,514.5
18.25,19.98,119.6,1040.0
19.44,18.82,128.1,1167.0
15.78,17.89,103.6,781.0
12.87,16.21,82.38,512.2
11.16,21.41,70.95,380.3
11.52,14.93,73.87,406.3
13.05,19.31,82.61,527.2
14.2,20.53,92.41,618.4
12.07,13.44,77.83,445.2
11.61,16.02,75.46,408.2
9.72,18.22,60.73,288.1
12.34,12.27,78.94,468.5
14.92,14.93,96.45,686.9
6.981,13.43,43.79,143.5
11.54,14.44,74.65,402.9
10.49,19.29,67.41,336.1
13.71,18.68,88.73,571.0
9.042,18.9,60.07,244.5
16.17,16.07,106.3,788.5
19.81,22.15,130.0,1260.0
17.47,24.68,116.1,984.6
13.3,21.57,85.24,546.1
18.66,17.12,121.4,1077.0
12.49,16.85,79.19,481.6
12.96,18.29,84.18,525.2
12.39,17.48,80.64,462.9
13.24,20.13,86.87,542.9
16.6,28.08,108.3,858.1
20.31,27.06,132.9,1288.0
11.45,20.97,73.81,401.5
8.196,16.84,51.71,201.9
13.4,20.52,88.64,556.7
16.27,20.71,106.9,813.7
13.45,18.3,86.6,555.1
16.25,19.51,109.8,815.8
13.34,15.86,86.49,520.0
14.6,23.29,93.97,664.7
10.97,17.2,71.73,371.5
19.8,21.56,129.7,1230.0
17.42,25.56,114.5,948.0
11.93,21.53,76.53,438.6
14.61,15.69,92.68,664.9
